Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.016619	0.023432
0.289690	0.023143
0.548827	0.023975
0.806291	0.010095
1.081563	0.009518
1.353113	0.021578
1.607293	0.041959
1.864661	0.076408
2.132542	0.123536
2.397819	0.156567
2.662075	0.218205
2.945353	0.275335
3.217009	0.397568
3.475487	0.470155
3.732557	0.545765
3.992007	0.639748
4.261081	0.709077
4.529606	0.802177
4.793228	0.912834
5.047476	1.041791
5.305317	1.155648
5.562292	1.299641
5.821306	1.424495
6.075376	1.576156
6.329656	1.710849
6.592522	1.894021
6.857071	2.059145
7.113408	2.251148
7.371555	2.426847
7.627865	2.635006
7.892476	2.817563
8.153314	3.021791
8.407280	3.213746
8.660918	3.434215
8.920241	3.629272
9.199998	3.847526
9.463799	4.258243
9.727736	4.483366
9.988798	4.722537
10.248185	4.996098
10.504391	5.275132
10.763205	5.523443
11.017833	5.780601
11.278253	6.004906
11.531813	6.273303
11.788709	6.547063
12.050567	6.866148
12.304275	7.129736
12.561062	7.458918
12.820922	7.752137
13.074956	8.092138
13.330220	8.393601
13.605825	8.699901
13.872909	9.010950
14.128382	9.325615
14.404054	9.683877
14.662470	9.947230
14.920614	10.321498
15.174518	10.700522
15.429336	11.036458
15.696519	11.768533
15.962980	12.116270
16.226954	12.468355
16.480766	12.846029
16.736495	13.144843
16.995109	13.450953
17.253518	13.682635
17.518260	13.827552
17.776711	14.004046
18.030466	14.155989
18.289522	14.240608
18.543614	14.317888
18.797197	14.372085
19.055573	14.438828
19.309321	14.492854
19.565156	14.547256
19.828502	14.592946
20.087589	14.636775
20.341769	14.658960
20.595633	14.680687
20.861073	14.697809
21.121100	14.738526
21.374885	14.773685
21.629361	14.812701
21.893312	14.823906
22.152345	14.834116
22.408645	14.851885
22.664350	14.845630
22.920683	14.872537
23.174750	14.897983
23.428817	14.922366
23.694767	14.965160
23.960500	14.982639
24.216832	14.992113
24.476695	14.999637
24.735857	14.993745
24.992768	14.972130
25.252522	14.952952
25.510481	14.921217
25.765169	14.896613
26.028332	14.907043
26.285239	14.924821
26.542349	14.944359
26.801596	14.962256
27.059443	14.969169
27.316732	14.965385
27.570484	14.962257
27.829113	14.948536
28.089007	14.949251
28.343109	14.939367
28.596740	14.926184
28.857011	14.925534
29.115698	14.945995
29.374716	14.969836
29.629402	14.997208
29.892791	15.018150
30.152765	15.020860
30.406681	15.012261
30.662517	15.002371
30.920645	15.012219
31.174840	15.022465
31.429562	15.034825
31.695646	15.055836
31.973009	15.063415
32.229646	15.066474
32.500492	15.067753
32.756677	15.067581
33.020778	15.066394
33.281774	15.062139
33.536849	15.032628
33.797483	15.002906
34.058581	14.975172
34.321719	14.956141
