Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.038029	0.023432
0.303607	0.023143
0.564286	0.019053
0.818040	0.008264
1.075754	0.010280
1.332836	0.035361
1.606739	0.062991
1.877170	0.093902
2.132343	0.134474
2.398743	0.188499
2.652417	0.241465
2.925234	0.312370
3.189629	0.378477
3.443836	0.444215
3.701371	0.526528
3.955326	0.618704
4.209881	0.708760
4.487997	0.911051
4.745923	1.022839
5.009297	1.150177
5.270880	1.302051
5.524623	1.435481
5.781344	1.600696
6.041541	1.752146
6.306408	1.928298
6.560123	2.071421
6.814332	2.257189
7.075904	2.406622
7.336968	2.585861
7.597834	2.768801
7.855924	2.964207
8.110785	3.128633
8.373744	3.336309
8.635359	3.521997
8.889209	3.744264
9.153463	3.931302
9.408351	4.152951
9.671777	4.368666
9.927406	4.598547
10.186071	4.833802
10.440559	5.109244
10.712422	5.333302
10.975781	5.587770
11.240407	6.101570
11.495656	6.360414
11.757620	6.627020
12.013665	6.864407
12.276252	7.149855
12.537661	7.396290
12.797879	7.733578
13.051779	8.026411
13.307949	8.327856
13.574221	8.504667
13.833975	8.687492
14.087891	8.820664
14.342464	9.019382
14.605880	9.195720
14.866120	9.380556
15.119849	9.522094
15.375152	9.634406
15.638071	9.698721
15.897577	9.767039
16.151759	9.793952
16.407953	9.855911
16.666002	9.908431
16.919920	9.967686
17.175519	10.008887
17.441112	10.049209
17.697836	10.068045
17.956143	10.079603
18.210114	10.080242
18.475848	10.091109
18.742830	10.108626
19.001529	10.113386
19.257378	10.115064
19.516590	10.114247
19.778120	10.111714
20.039625	10.106639
20.294843	10.095379
20.553079	10.082735
20.811952	10.069868
21.073303	10.061956
21.333759	10.046601
21.592001	10.035970
21.845689	10.027937
22.105954	10.021387
22.369939	10.016501
22.627788	10.009404
22.881579	10.009838
23.141673	10.013676
23.399562	10.015589
23.653400	10.012717
23.914615	10.004682
24.173908	9.995666
24.432652	9.995065
24.686666	9.990987
24.941609	9.987593
25.206429	9.991600
25.473857	9.995589
25.743191	9.986182
26.001552	9.972410
26.261658	9.983843
26.520631	9.995871
26.780519	10.009096
27.037916	10.018669
27.295842	10.027398
27.554171	10.033216
27.810721	10.038087
28.071810	10.040795
28.335039	10.042630
28.588869	10.043000
28.845712	10.041204
29.108730	10.037131
29.370202	10.027608
