-0.351981	16.786390
-0.358523	17.033524
-0.366191	17.325357
-0.372296	17.578276
-0.378353	17.831656
-0.386146	18.127533
-0.401269	18.677713
-0.409205	18.932665
-0.419326	19.229794
-0.429693	19.485783
-0.439680	19.783424
-0.447377	20.039808
-0.456861	20.337282
-0.467292	20.636086
-0.477228	20.933411
-0.487301	21.233379
-0.495061	21.489779
-0.504960	21.747730
-0.512679	21.962364
-0.522605	22.221684
-0.528208	22.394604
-0.535550	22.610445
-0.546016	22.912733
-0.555920	23.172134
-0.566639	23.474918
-0.576136	23.777464
-0.586267	24.080406
-0.596263	24.383554
-0.609439	24.730362
-0.630994	25.294649
-0.642149	25.598734
-0.656780	25.946701
-0.666968	26.206697
-0.678236	26.511143
-0.690084	26.814325
-0.703550	27.118982
-0.714688	27.422188
-0.726200	27.726582
-0.735135	27.986300
-0.747189	28.290718
-0.759091	28.593563
-0.772502	28.896992
-0.783072	29.198788
-0.794134	29.502071
-0.804376	29.804354
-0.815779	30.107605
-0.827960	30.410439
-0.839809	30.670647
-0.851263	30.931231
-0.866049	31.235142
-0.888987	31.756372
-0.900579	32.017361
-0.910204	32.234207
-0.921016	32.495331
-0.933987	32.798370
-0.945581	33.102673
-0.956385	33.362186
-0.967624	33.623501
-0.982255	33.970676
-0.995924	34.276581
-1.009240	34.581638
-1.023467	34.888168
-1.035051	35.150219
-1.050589	35.500465
-1.062186	35.763443
-1.075294	36.070461
-1.089867	36.377914
-1.104818	36.686520
-1.119342	36.995892
-1.131201	37.260921
-1.161914	37.924644
-1.176120	38.235237
-1.192100	38.545105
-1.207259	38.857143
-1.219840	39.123455
-1.235347	39.436245
-1.249151	39.703495
-1.263827	40.017124
-1.279294	40.328865
-1.294272	40.642334
-1.310318	40.954468
-1.325768	41.268585
-1.341766	41.581367
-1.357899	41.896091
-1.373455	42.209309
-1.386942	42.479172
-1.401876	42.793610
-1.417801	43.108955
-1.434671	43.423832
-1.450488	43.739552
-1.465992	44.055626
-1.480418	44.326221
-1.499206	44.641926
-1.514620	44.911480
-1.548232	45.540985
-1.565596	45.856064
-1.577117	46.080360
-1.589663	46.305557
-1.601802	46.530388
-1.615794	46.801800
-1.632535	47.116905
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
-1.637282	47.207321
